vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,target
0,125.0,256.0,6000.0,256.0,16.0,128.0,199.0
1,29.0,8000.0,32000.0,32.0,8.0,32.0,253.0
1,29.0,8000.0,32000.0,32.0,8.0,32.0,253.0
1,29.0,8000.0,32000.0,32.0,8.0,32.0,253.0
1,29.0,8000.0,16000.0,32.0,8.0,16.0,132.0
1,26.0,8000.0,32000.0,64.0,8.0,32.0,290.0
1,23.0,16000.0,32000.0,64.0,16.0,32.0,381.0
1,23.0,16000.0,32000.0,64.0,16.0,32.0,381.0
1,23.0,16000.0,64000.0,64.0,16.0,32.0,749.0
1,23.0,32000.0,64000.0,128.0,32.0,64.0,1238.0
2,400.0,1000.0,3000.0,0.0,1.0,2.0,23.0
2,400.0,512.0,3500.0,4.0,1.0,6.0,24.0
3,60.0,2000.0,8000.0,65.0,1.0,8.0,70.0
3,50.0,4000.0,16000.0,65.0,1.0,8.0,117.0
4,350.0,64.0,64.0,0.0,1.0,4.0,15.0
4,200.0,512.0,16000.0,0.0,4.0,32.0,64.0
5,167.0,524.0,2000.0,8.0,4.0,15.0,23.0
5,143.0,512.0,5000.0,0.0,7.0,32.0,29.0
5,143.0,1000.0,2000.0,0.0,5.0,16.0,22.0
5,110.0,5000.0,5000.0,142.0,8.0,64.0,124.0
5,143.0,1500.0,6300.0,0.0,5.0,32.0,35.0
5,143.0,3100.0,6200.0,0.0,5.0,20.0,39.0
5,143.0,2300.0,6200.0,0.0,6.0,64.0,40.0
5,110.0,3100.0,6200.0,0.0,6.0,64.0,45.0
6,320.0,128.0,6000.0,0.0,1.0,12.0,28.0
6,320.0,512.0,2000.0,4.0,1.0,3.0,21.0
6,320.0,256.0,6000.0,0.0,1.0,6.0,28.0
6,320.0,256.0,3000.0,4.0,1.0,3.0,22.0
6,320.0,512.0,5000.0,4.0,1.0,5.0,28.0
6,320.0,256.0,5000.0,4.0,1.0,6.0,27.0
8,25.0,1310.0,2620.0,131.0,12.0,24.0,102.0
8,25.0,1310.0,2620.0,131.0,12.0,24.0,102.0
8,50.0,2620.0,10480.0,30.0,12.0,24.0,74.0
8,50.0,2620.0,10480.0,30.0,12.0,24.0,74.0
8,56.0,5240.0,20970.0,30.0,12.0,24.0,138.0
8,64.0,5240.0,20970.0,30.0,12.0,24.0,136.0
8,50.0,500.0,2000.0,8.0,1.0,4.0,23.0
8,50.0,1000.0,4000.0,8.0,1.0,5.0,29.0
8,50.0,2000.0,8000.0,8.0,1.0,5.0,44.0
7,50.0,1000.0,4000.0,8.0,3.0,5.0,30.0
7,50.0,1000.0,8000.0,8.0,3.0,5.0,41.0
7,50.0,2000.0,16000.0,8.0,3.0,5.0,74.0
7,50.0,2000.0,16000.0,8.0,3.0,6.0,74.0
7,50.0,2000.0,16000.0,8.0,3.0,6.0,74.0
9,133.0,1000.0,12000.0,9.0,3.0,12.0,54.0
9,133.0,1000.0,8000.0,9.0,3.0,12.0,41.0
9,810.0,512.0,512.0,8.0,1.0,1.0,18.0
9,810.0,1000.0,5000.0,0.0,1.0,1.0,28.0
9,320.0,512.0,8000.0,4.0,1.0,5.0,36.0
9,200.0,512.0,8000.0,8.0,1.0,8.0,38.0
10,700.0,384.0,8000.0,0.0,1.0,1.0,34.0
